Run No. ,1,,Run No. ,2,,Run No. ,3,,Run No. ,4,,Run No. ,5,,Run No. ,6,,Run No. ,7,,Run No. ,8,,Run No. ,9,,Run No. ,10,,Run No. ,11A,,Run No. ,11B,,Run No. ,12,,Run No. ,13,,Run No. ,14,,Run No. ,15,,Run No. ,16,,Run No. ,17,
Location,"Monturque, Spain",,Location,"Polykastro, Greece",,Location,"Sobrance, Solvakia",,Location,"Sfantu Gheorghe, Romania",,Location,"Carricaburua, France",,Location,"Milburn, UK",,Location,"Nijar, Spain",,Location,"Perillo, Spain",,Location,"Salgueiro, Portugal",,Location,"Lode, Sadinia",,Location,"Novaci, N Macedonia",,Location,"Novaci, N Macedonia",,Location,"Prrenjas, Albania",,Location,"Talveila, Spain",,Location,"Alpirsbach, Germany",,Location,"Majdanpek, Sebia",,Location,"Malko Tarnovo, Bulgaria",,Location,"Paisumaa, Estonia",
Long ,4.5751053W,,Long ,22.6082660E,,Long ,22.1879008E,,Long ,29.4632273E,,Long ,1.1843207W,,Long ,2.5350676W,,Long ,2.2252523W,,Long ,8.3584618W,,Long ,8.1857881W,,Long ,9.6271045E,,Long ,21.6101792E,,Long ,21.5711146E,,Long ,20.5836877E,,Long ,2.9346966W,,Long ,8.4059244E,,Long ,21.9588059E,,Long ,27.5200406E,,Long ,24.7258913E,
Lat,37.4766606N,,Lat,41.0048162N,,Lat,48.7635344N,,Lat,44.9458420N,,Lat,43.3618432N,,Lat,54.6602365N,,Lat,36.9707954N,,Lat,43.3407863N,,Lat,39.1354886N,,Lat,40.6059947N,,Lat,41.0356883N,,Lat,40.9467366N,,Lat,41.1004442N,,Lat,41.7911925N,,Lat,48.3519644N,,Lat,44.4760425N,,Lat,42.0724469N,,Lat,58.8163933N,
Elevation,1000,,Elevation,68,,Elevation (Ft),393,,Elevation,0,,Elevation,675,,Elevation,659,,Elevation,2559,,Elevation,131,,Elevation,583,,Elevation,925,,Elevation,3490,,Elevation,1886,,Elevation,3156,,Elevation,3740,,Elevation,2168,,Elevation,2047,,Elevation,849,,Elevation,173,
Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,,Date,29/07/2024,
Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,,Time,1500,
FBFM,GR2,,FBFM,GR4,,FBFM,GR6,,FBFM,GR7,,FBFM,GR8,,FBFM,GR9,,FBFM,SH2,,FBFM,SH3,,FBFM,SH5,,FBFM,SH7,,FBFM,SH8,,FBFM,SH8,,FBFM,SH9,,FBFM,TU1,,FBFM,TU2,,FBFM,TU3,,FBFM,TU5,,FBFM,TL3,
Temp (°C),37,,Temp (°C),38,,Temp (°C),24.4,,Temp (°C),30,,Temp (°C),36,,Temp (°C),18,,Temp (°C),33,,Temp (°C),25,,Temp (°C),38,,Temp (°C),33,,Temp (°C),32,,Temp (°C),32,,Temp (°C),31,,Temp (°C),34,,Temp (°C),26,,Temp (°C),26,,Temp (°C),31,,Temp (°C),21,
Humidity (%),31,,Humidity (%),23,,Humidity (%),37,,Humidity (%),43,,Humidity (%),36,,Humidity (%),64,,Humidity (%),38,,Humidity (%),72,,Humidity (%),23,,Humidity (%),41,,Humidity (%),29,,Humidity (%),29,,Humidity (%),27,,Humidity (%),19,,Humidity (%),46,,Humidity (%),32,,Humidity (%),30,,Humidity (%),84,
Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),A,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),L,,Wx site code (B/L/A),A,,Wx site code (B/L/A),A,,Wx site code (B/L/A),A,,Wx site code (B/L/A),L,,Wx site code (B/L/A),A ,,Wx site code (B/L/A),A,,Wx site code (B/L/A),A,,Wx site code (B/L/A),L,
Wind speed (km/h),10,,Wind speed (km/h),17,,Wind speed (km/h),18,,Wind speed (km/h),16,,Wind speed (km/h),13,,Wind speed (km/h),18,,Wind speed (km/h),27,,Wind speed (km/h),10,,Wind speed (km/h),14,,Wind speed (km/h),11,,Wind speed (km/h),19,,Wind speed (km/h),19,,Wind speed (km/h),12,,Wind speed (km/h),11,,Wind speed (km/h),9,,Wind speed (km/h),20,,Wind speed (km/h),11,,Wind speed (km/h),16,
